date_raw,date_formatted,complaints,education,notices,education_notices,charges,individual_cost,cost_total,legislation,violation,violation_recoded,city,province,ranking
"October, 2020","October, 2020",,,,,92,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"September, 2020","September, 2020",,,,,223,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"August, 2020","August, 2020",,,,,136,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"July, 2020","July, 2020",,,,,142,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"June, 2020","June, 2020",,,,,498,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"May, 2020","May, 2020",,,,,970,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"April, 2020","April, 2020",,,,,791,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"March, 2020","March, 2020",,,,,2,,,,EMERGENCY MGMT CIVIL PROT ACT,,ontario,ontario,
"March, 2021","March, 2021",,,,,9,,,,QUARANTINE ACT,,ontario,ontario,
"February, 2021","February, 2021",,,,,2,,,,QUARANTINE ACT,,ontario,ontario,
"January, 2021","January, 2021",,,,,17,,,,QUARANTINE ACT,,ontario,ontario,
"December, 2020","December, 2020",,,,,19,,,,QUARANTINE ACT,,ontario,ontario,
"November, 2020","November, 2020",,,,,14,,,,QUARANTINE ACT,,ontario,ontario,
"October, 2020","October, 2020",,,,,11,,,,QUARANTINE ACT,,ontario,ontario,
"September, 2020","September, 2020",,,,,5,,,,QUARANTINE ACT,,ontario,ontario,
"August, 2020","August, 2020",,,,,11,,,,QUARANTINE ACT,,ontario,ontario,
"July, 2020","July, 2020",,,,,8,,,,QUARANTINE ACT,,ontario,ontario,
"June, 2020","June, 2020",,,,,3,,,,QUARANTINE ACT,,ontario,ontario,
"May, 2020","May, 2020",,,,,1,,,,QUARANTINE ACT,,ontario,ontario,
"April, 2020","April, 2020",,,,,0,,,,QUARANTINE ACT,,ontario,ontario,
